Winner,Pts,Loser,Pts
(9) Oregon,38,Washington State,24
Rutgers,31,Indiana,14
San Jose State,42,Utah State,21
South Florida,24,Connecticut,21
(8) Texas,31,Houston,24
Texas-San Antonio,36,Florida Atlantic,10
Toledo,21,Miami (OH),17
(23) Tulane,35,North Texas,28
(25) UCLA,42,Stanford,7
(14) Utah,34,(18) Southern California,32
Virginia,31,(10) North Carolina,27
Wake Forest,21,Pittsburgh,17
(5) Washington,15,Arizona State,7
Wisconsin,25,Illinois,21
Liberty,42,Western Kentucky,29
New Mexico State,27,Louisiana Tech,24
Jacksonville State,41,Florida International,16
Texas-El Paso,37,Sam Houston,34
Georgia Southern,44,Georgia State,27
Virginia Tech,38,Syracuse,10
Florida Atlantic,38,Charlotte,16
(19) Air Force,30,Colorado State,13
Appalachian State,48,Southern Mississippi,38
Arizona,27,(11) Oregon State,24
Arizona State,38,Washington State,27
Arkansas State,34,Louisiana-Monroe,24
Auburn,27,Mississippi State,13
Boise State,32,Wyoming,7
Boston College,21,Connecticut,14
Coastal Carolina,34,Marshall,6
(4) Florida State,41,Wake Forest,16
Fresno State,31,Nevada-Las Vegas,24
(1) Georgia,43,Florida,20
Georgia Tech,46,(17) North Carolina,42
Iowa State,30,Baylor,18
(25) James Madison,30,Old Dominion,27
Kansas,38,(6) Oklahoma,33
Kansas State,41,Houston,0
Louisiana,33,South Alabama,20
(18) Louisville,23,(20) Duke,0
Massachusetts,21,Army,14
Memphis,45,North Texas,42
Miami (FL),29,Virginia,26
Miami (OH),30,Ohio,16
Minnesota,27,Michigan State,12
(12) Mississippi,33,Vanderbilt,7
Nebraska,31,Purdue,14
Nevada,34,New Mexico,24
North Carolina State,24,Clemson,17
Northwestern,33,Maryland,27
(14) Notre Dame,58,Pittsburgh,7
(3) Ohio State,24,Wisconsin,10
Oklahoma State,45,Cincinnati,13
(8) Oregon,35,(13) Utah,6
(10) Penn State,33,Indiana,24
(24) Southern California,50,California,49
Southern Methodist,69,Tulsa,10
(21) Tennessee,33,Kentucky,27
(7) Texas,35,Brigham Young,6
Texas A&M,30,South Carolina,17
Texas-San Antonio,41,East Carolina,27
Troy,31,Texas State,13
(22) Tulane,30,Rice,28
(23) UCLA,28,Colorado,16
(5) Washington,42,Stanford,33
West Virginia,41,Central Florida,28
Western Michigan,45,Eastern Michigan,21
San Jose State,35,Hawaii,0
Central Michigan,37,Northern Illinois,31
Toledo,31,Buffalo,13
